SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL
"Week 1 Friday","09/28/2017 04:00 PM UTC","09/29/2017 04:00 PM UTC","",,,,,
"Holiday","10/01/2017 04:00 PM UTC","10/02/2017 04:00 PM UTC","",,,,,
"Holiday","10/02/2017 04:00 PM UTC","10/03/2017 04:00 PM UTC","",,,,,
"Holiday","10/03/2017 04:00 PM UTC","10/04/2017 04:00 PM UTC","",,,,,
"Holiday","10/04/2017 04:00 PM UTC","10/05/2017 04:00 PM UTC","",,,,,
"Holiday","10/05/2017 04:00 PM UTC","10/06/2017 04:00 PM UTC","",,,,,
"Week 2 Monday","10/08/2017 04:00 PM UTC","10/09/2017 04:00 PM UTC","",,,,,
"Week 2 Tuesday","10/09/2017 04:00 PM UTC","10/10/2017 04:00 PM UTC","",,,,,
"Week 2 Wednesday","10/10/2017 04:00 PM UTC","10/11/2017 04:00 PM UTC","",,,,,
"Week 2 Thursday","10/11/2017 04:00 PM UTC","10/12/2017 04:00 PM UTC","",,,,,
"Week 2 Friday","10/12/2017 04:00 PM UTC","10/13/2017 04:00 PM UTC","",,,,,
"Week 1 Monday","10/15/2017 04:00 PM UTC","10/16/2017 04:00 PM UTC","",,,,,
"Week 1 Tuesday","10/16/2017 04:00 PM UTC","10/17/2017 04:00 PM UTC","",,,,,
"Week 1 Wednesday","10/17/2017 04:00 PM UTC","10/18/2017 04:00 PM UTC","",,,,,
"Week 1 Thursday","10/18/2017 04:00 PM UTC","10/19/2017 04:00 PM UTC","",,,,,
"Staff CPD day","10/19/2017 04:00 PM UTC","10/20/2017 04:00 PM UTC","",,,,,
"Week 2 Monday","10/22/2017 04:00 PM UTC","10/23/2017 04:00 PM UTC","",,,,,
"Week 2 Tuesday","10/23/2017 04:00 PM UTC","10/24/2017 04:00 PM UTC","",,,,,
"Week 2 Wednesday","10/24/2017 04:00 PM UTC","10/25/2017 04:00 PM UTC","",,,,,
"Week 2 Thursday","10/25/2017 04:00 PM UTC","10/26/2017 04:00 PM UTC","",,,,,
"Week 2 Friday","10/26/2017 04:00 PM UTC","10/27/2017 04:00 PM UTC","",,,,,
"Non-timetable day","10/29/2017 04:00 PM UTC","10/30/2017 04:00 PM UTC","",,,,,
"Non-timetable day","10/30/2017 04:00 PM UTC","10/31/2017 04:00 PM UTC","",,,,,
"Non-timetable day","10/31/2017 04:00 PM UTC","11/01/2017 04:00 PM UTC","",,,,,
"Non-timetable day","11/01/2017 04:00 PM UTC","11/02/2017 04:00 PM UTC","",,,,,
"Non-timetable day","11/02/2017 04:00 PM UTC","11/03/2017 04:00 PM UTC","",,,,,
"Staff CPD day","11/05/2017 04:00 PM UTC","11/06/2017 04:00 PM UTC","",,,,,
"Week 1 Tuesday","11/06/2017 04:00 PM UTC","11/07/2017 04:00 PM UTC","",,,,,
"Week 1 Wednesday","11/07/2017 04:00 PM UTC","11/08/2017 04:00 PM UTC","",,,,,
"Week 1 Thursday","11/08/2017 04:00 PM UTC","11/09/2017 04:00 PM UTC","",,,,,
"Week 1 Friday","11/09/2017 04:00 PM UTC","11/10/2017 04:00 PM UTC","",,,,,
"Week 2 Monday","11/12/2017 04:00 PM UTC","11/13/2017 04:00 PM UTC","",,,,,
"Week 2 Tuesday","11/13/2017 04:00 PM UTC","11/14/2017 04:00 PM UTC","",,,,,
"Week 2 Wednesday","11/14/2017 04:00 PM UTC","11/15/2017 04:00 PM UTC","",,,,,
"Week 2 Thursday","11/15/2017 04:00 PM UTC","11/16/2017 04:00 PM UTC","",,,,,
"Week 2 Friday","11/16/2017 04:00 PM UTC","11/17/2017 04:00 PM UTC","",,,,,
"Week 1 Monday","11/19/2017 04:00 PM UTC","11/20/2017 04:00 PM UTC","",,,,,
"Week 1 Tuesday","11/20/2017 04:00 PM UTC","11/21/2017 04:00 PM UTC","",,,,,
"Week 1 Wednesday","11/21/2017 04:00 PM UTC","11/22/2017 04:00 PM UTC","",,,,,
"Week 1 Thursday","11/22/2017 04:00 PM UTC","11/23/2017 04:00 PM UTC","",,,,,
"Week 1 Friday","11/23/2017 04:00 PM UTC","11/24/2017 04:00 PM UTC","",,,,,
"Week 2 Monday","11/26/2017 04:00 PM UTC","11/27/2017 04:00 PM UTC","",,,,,
"Week 2 Tuesday","11/27/2017 04:00 PM UTC","11/28/2017 04:00 PM UTC","",,,,,
"Week 2 Wednesday","11/28/2017 04:00 PM UTC","11/29/2017 04:00 PM UTC","",,,,,
"Week 2 Thursday","11/29/2017 04:00 PM UTC","11/30/2017 04:00 PM UTC","",,,,,
"Week 2 Friday","11/30/2017 04:00 PM UTC","12/01/2017 04:00 PM UTC","",,,,,
"Week 1 Monday","12/03/2017 04:00 PM UTC","12/04/2017 04:00 PM UTC","",,,,,
"Week 1 Tuesday","12/04/2017 04:00 PM UTC","12/05/2017 04:00 PM UTC","",,,,,
"Week 1 Wednesday","12/05/2017 04:00 PM UTC","12/06/2017 04:00 PM UTC","",,,,,
"Week 1 Thursday","12/06/2017 04:00 PM UTC","12/07/2017 04:00 PM UTC","",,,,,
"Week 1 Friday","12/07/2017 04:00 PM UTC","12/08/2017 04:00 PM UTC","",,,,,
"Week 2 Monday","12/10/2017 04:00 PM UTC","12/11/2017 04:00 PM UTC","",,,,,
"Week 2 Tuesday","12/11/2017 04:00 PM UTC","12/12/2017 04:00 PM UTC","",,,,,
"Week 2 Wednesday","12/12/2017 04:00 PM UTC","12/13/2017 04:00 PM UTC","",,,,,
"Week 2 Thursday","12/13/2017 04:00 PM UTC","12/14/2017 04:00 PM UTC","",,,,,
"Week 2 Friday","12/14/2017 04:00 PM UTC","12/15/2017 04:00 PM UTC","",,,,,
"Holiday","12/17/2017 04:00 PM UTC","12/18/2017 04:00 PM UTC","",,,,,
"Holiday","12/18/2017 04:00 PM UTC","12/19/2017 04:00 PM UTC","",,,,,
"Holiday","12/19/2017 04:00 PM UTC","12/20/2017 04:00 PM UTC","",,,,,
"Holiday","12/20/2017 04:00 PM UTC","12/21/2017 04:00 PM UTC","",,,,,
"Holiday","12/21/2017 04:00 PM UTC","12/22/2017 04:00 PM UTC","",,,,,
"Holiday","12/24/2017 04:00 PM UTC","12/25/2017 04:00 PM UTC","",,,,,
"Holiday","12/25/2017 04:00 PM UTC","12/26/2017 04:00 PM UTC","",,,,,
"Holiday","12/26/2017 04:00 PM UTC","12/27/2017 04:00 PM UTC","",,,,,
"Holiday","12/27/2017 04:00 PM UTC","12/28/2017 04:00 PM UTC","",,,,,
"Holiday","12/28/2017 04:00 PM UTC","12/29/2017 04:00 PM UTC","",,,,,
"Holiday","12/31/2017 04:00 PM UTC","01/01/2018 04:00 PM UTC","",,,,,
"Holiday","01/01/2018 04:00 PM UTC","01/02/2018 04:00 PM UTC","",,,,,
"Holiday","01/02/2018 04:00 PM UTC","01/03/2018 04:00 PM UTC","",,,,,
"Holiday","01/03/2018 04:00 PM UTC","01/04/2018 04:00 PM UTC","",,,,,
"Holiday","01/04/2018 04:00 PM UTC","01/05/2018 04:00 PM UTC","",,,,,
"Week 1 Monday","01/07/2018 04:00 PM UTC","01/08/2018 04:00 PM UTC","",,,,,
"Week 1 Tuesday","01/08/2018 04:00 PM UTC","01/09/2018 04:00 PM UTC","",,,,,
"Week 1 Wednesday","01/09/2018 04:00 PM UTC","01/10/2018 04:00 PM UTC","",,,,,
"Week 1 Thursday","01/10/2018 04:00 PM UTC","01/11/2018 04:00 PM UTC","",,,,,
"Week 1 Friday","01/11/2018 04:00 PM UTC","01/12/2018 04:00 PM UTC","",,,,,
"Week 2 Monday","01/14/2018 04:00 PM UTC","01/15/2018 04:00 PM UTC","",,,,,
"Week 2 Tuesday","01/15/2018 04:00 PM UTC","01/16/2018 04:00 PM UTC","",,,,,
"Week 2 Wednesday","01/16/2018 04:00 PM UTC","01/17/2018 04:00 PM UTC","",,,,,
"Week 2 Thursday","01/17/2018 04:00 PM UTC","01/18/2018 04:00 PM UTC","",,,,,
"Week 2 Friday","01/18/2018 04:00 PM UTC","01/19/2018 04:00 PM UTC","",,,,,
"Week 1 Monday","01/21/2018 04:00 PM UTC","01/22/2018 04:00 PM UTC","",,,,,
"Week 1 Tuesday","01/22/2018 04:00 PM UTC","01/23/2018 04:00 PM UTC","",,,,,
"Week 1 Wednesday","01/23/2018 04:00 PM UTC","01/24/2018 04:00 PM UTC","",,,,,
"Week 1 Thursday","01/24/2018 04:00 PM UTC","01/25/2018 04:00 PM UTC","",,,,,
"Week 1 Friday","01/25/2018 04:00 PM UTC","01/26/2018 04:00 PM UTC","",,,,,
"Week 2 Monday","01/28/2018 04:00 PM UTC","01/29/2018 04:00 PM UTC","",,,,,
"Week 2 Tuesday","01/29/2018 04:00 PM UTC","01/30/2018 04:00 PM UTC","",,,,,
"Week 2 Wednesday","01/30/2018 04:00 PM UTC","01/31/2018 04:00 PM UTC","",,,,,
"Week 2 Thursday","01/31/2018 04:00 PM UTC","02/01/2018 04:00 PM UTC","",,,,,
"Week 2 Friday","02/01/2018 04:00 PM UTC","02/02/2018 04:00 PM UTC","",,,,,
"Week 1 Monday","02/04/2018 04:00 PM UTC","02/05/2018 04:00 PM UTC","",,,,,
"Week 1 Tuesday","02/05/2018 04:00 PM UTC","02/06/2018 04:00 PM UTC","",,,,,
"Week 1 Wednesday","02/06/2018 04:00 PM UTC","02/07/2018 04:00 PM UTC","",,,,,
"Week 1 Thursday","02/07/2018 04:00 PM UTC","02/08/2018 04:00 PM UTC","",,,,,
"Week 1 Friday","02/08/2018 04:00 PM UTC","02/09/2018 04:00 PM UTC","",,,,,
"Week 2 Monday","02/11/2018 04:00 PM UTC","02/12/2018 04:00 PM UTC","",,,,,
"Week 2 Tuesday","02/12/2018 04:00 PM UTC","02/13/2018 04:00 PM UTC","",,,,,
"Week 2 Wednesday","02/13/2018 04:00 PM UTC","02/14/2018 04:00 PM UTC","",,,,,
"Week 2 Thursday","02/14/2018 04:00 PM UTC","02/15/2018 04:00 PM UTC","",,,,,
"Holiday","02/15/2018 04:00 PM UTC","02/16/2018 04:00 PM UTC","",,,,,
"Holiday","02/18/2018 04:00 PM UTC","02/19/2018 04:00 PM UTC","",,,,,
"Holiday","02/19/2018 04:00 PM UTC","02/20/2018 04:00 PM UTC","",,,,,
"Holiday","02/20/2018 04:00 PM UTC","02/21/2018 04:00 PM UTC","",,,,,
"Holiday","02/21/2018 04:00 PM UTC","02/22/2018 04:00 PM UTC","",,,,,
"Holiday","02/22/2018 04:00 PM UTC","02/23/2018 04:00 PM UTC","",,,,,
"Staff CPD day","02/25/2018 04:00 PM UTC","02/26/2018 04:00 PM UTC","",,,,,
"Week 1 Tuesday","02/26/2018 04:00 PM UTC","02/27/2018 04:00 PM UTC","",,,,,
"Week 1 Wednesday","02/27/2018 04:00 PM UTC","02/28/2018 04:00 PM UTC","",,,,,
"Week 1 Thursday","02/28/2018 04:00 PM UTC","03/01/2018 04:00 PM UTC","",,,,,
"Week 1 Friday","03/01/2018 04:00 PM UTC","03/02/2018 04:00 PM UTC","",,,,,
"Week 2 Monday","03/04/2018 04:00 PM UTC","03/05/2018 04:00 PM UTC","",,,,,
"Week 2 Tuesday","03/05/2018 04:00 PM UTC","03/06/2018 04:00 PM UTC","",,,,,
"Week 2 Wednesday","03/06/2018 04:00 PM UTC","03/07/2018 04:00 PM UTC","",,,,,
"Week 2 Thursday","03/07/2018 04:00 PM UTC","03/08/2018 04:00 PM UTC","",,,,,
"Week 2 Friday","03/08/2018 04:00 PM UTC","03/09/2018 04:00 PM UTC","",,,,,
"Week 1 Monday","03/11/2018 04:00 PM UTC","03/12/2018 04:00 PM UTC","",,,,,
"Week 1 Tuesday","03/12/2018 04:00 PM UTC","03/13/2018 04:00 PM UTC","",,,,,
"Week 1 Wednesday","03/13/2018 04:00 PM UTC","03/14/2018 04:00 PM UTC","",,,,,
"Week 1 Thursday","03/14/2018 04:00 PM UTC","03/15/2018 04:00 PM UTC","",,,,,
"Week 1 Friday","03/15/2018 04:00 PM UTC","03/16/2018 04:00 PM UTC","",,,,,
"Week 2 Monday","03/18/2018 04:00 PM UTC","03/19/2018 04:00 PM UTC","",,,,,
"Week 2 Tuesday","03/19/2018 04:00 PM UTC","03/20/2018 04:00 PM UTC","",,,,,
"Week 2 Wednesday","03/20/2018 04:00 PM UTC","03/21/2018 04:00 PM UTC","",,,,,
"Week 2 Thursday","03/21/2018 04:00 PM UTC","03/22/2018 04:00 PM UTC","",,,,,
"Week 2 Friday","03/22/2018 04:00 PM UTC","03/23/2018 04:00 PM UTC","",,,,,
"Week 1 Monday","03/25/2018 04:00 PM UTC","03/26/2018 04:00 PM UTC","",,,,,
"Week 1 Tuesday","03/26/2018 04:00 PM UTC","03/27/2018 04:00 PM UTC","",,,,,
"Week 1 Wednesday","03/27/2018 04:00 PM UTC","03/28/2018 04:00 PM UTC","",,,,,
"Week 1 Thursday","03/28/2018 04:00 PM UTC","03/29/2018 04:00 PM UTC","",,,,,
"Holiday","03/29/2018 04:00 PM UTC","03/30/2018 04:00 PM UTC","",,,,,
"Holiday","04/01/2018 04:00 PM UTC","04/02/2018 04:00 PM UTC","",,,,,
"Holiday","04/02/2018 04:00 PM UTC","04/03/2018 04:00 PM UTC","",,,,,
"Holiday","04/03/2018 04:00 PM UTC","04/04/2018 04:00 PM UTC","",,,,,
"Holiday","04/04/2018 04:00 PM UTC","04/05/2018 04:00 PM UTC","",,,,,
"Holiday","04/05/2018 04:00 PM UTC","04/06/2018 04:00 PM UTC","",,,,,
"Holiday","04/08/2018 04:00 PM UTC","04/09/2018 04:00 PM UTC","",,,,,
"Holiday","04/09/2018 04:00 PM UTC","04/10/2018 04:00 PM UTC","",,,,,
"Holiday","04/10/2018 04:00 PM UTC","04/11/2018 04:00 PM UTC","",,,,,
"Holiday","04/11/2018 04:00 PM UTC","04/12/2018 04:00 PM UTC","",,,,,
"Holiday","04/12/2018 04:00 PM UTC","04/13/2018 04:00 PM UTC","",,,,,
"Week 2 Monday","04/15/2018 04:00 PM UTC","04/16/2018 04:00 PM UTC","",,,,,
"Week 2 Tuesday","04/16/2018 04:00 PM UTC","04/17/2018 04:00 PM UTC","",,,,,
"Week 2 Wednesday","04/17/2018 04:00 PM UTC","04/18/2018 04:00 PM UTC","",,,,,
"Week 2 Thursday","04/18/2018 04:00 PM UTC","04/19/2018 04:00 PM UTC","",,,,,
"Week 2 Friday","04/19/2018 04:00 PM UTC","04/20/2018 04:00 PM UTC","",,,,,
"Week 1 Monday","04/22/2018 04:00 PM UTC","04/23/2018 04:00 PM UTC","",,,,,
"Week 1 Tuesday","04/23/2018 04:00 PM UTC","04/24/2018 04:00 PM UTC","",,,,,
"Week 1 Wednesday","04/24/2018 04:00 PM UTC","04/25/2018 04:00 PM UTC","",,,,,
"Week 1 Thursday","04/25/2018 04:00 PM UTC","04/26/2018 04:00 PM UTC","",,,,,
"Week 1 Friday","04/26/2018 04:00 PM UTC","04/27/2018 04:00 PM UTC","",,,,,
"Staff CPD day","04/29/2018 04:00 PM UTC","04/30/2018 04:00 PM UTC","",,,,,
"Holiday","04/30/2018 04:00 PM UTC","05/01/2018 04:00 PM UTC","",,,,,
"Week 2 Wednesday","05/01/2018 04:00 PM UTC","05/02/2018 04:00 PM UTC","",,,,,
"Week 2 Thursday","05/02/2018 04:00 PM UTC","05/03/2018 04:00 PM UTC","",,,,,
"Week 2 Friday","05/03/2018 04:00 PM UTC","05/04/2018 04:00 PM UTC","",,,,,
"Week 1 Monday","05/06/2018 04:00 PM UTC","05/07/2018 04:00 PM UTC","",,,,,
"Week 1 Tuesday","05/07/2018 04:00 PM UTC","05/08/2018 04:00 PM UTC","",,,,,
"Week 1 Wednesday","05/08/2018 04:00 PM UTC","05/09/2018 04:00 PM UTC","",,,,,
"Week 1 Thursday","05/09/2018 04:00 PM UTC","05/10/2018 04:00 PM UTC","",,,,,
"Week 1 Friday","05/10/2018 04:00 PM UTC","05/11/2018 04:00 PM UTC","",,,,,
"Week 2 Monday","05/13/2018 04:00 PM UTC","05/14/2018 04:00 PM UTC","",,,,,
"Week 2 Tuesday","05/14/2018 04:00 PM UTC","05/15/2018 04:00 PM UTC","",,,,,
"Week 2 Wednesday","05/15/2018 04:00 PM UTC","05/16/2018 04:00 PM UTC","",,,,,
"Week 2 Thursday","05/16/2018 04:00 PM UTC","05/17/2018 04:00 PM UTC","",,,,,
"Week 2 Friday","05/17/2018 04:00 PM UTC","05/18/2018 04:00 PM UTC","",,,,,
"Week 1 Monday","05/20/2018 04:00 PM UTC","05/21/2018 04:00 PM UTC","",,,,,
"Holiday","05/21/2018 04:00 PM UTC","05/22/2018 04:00 PM UTC","",,,,,
"Week 1 Wednesday","05/22/2018 04:00 PM UTC","05/23/2018 04:00 PM UTC","",,,,,
"Week 1 Thursday","05/23/2018 04:00 PM UTC","05/24/2018 04:00 PM UTC","",,,,,
"Week 1 Friday","05/24/2018 04:00 PM UTC","05/25/2018 04:00 PM UTC","",,,,,
"Week 2 Monday","05/27/2018 04:00 PM UTC","05/28/2018 04:00 PM UTC","",,,,,
"Week 2 Tuesday","05/28/2018 04:00 PM UTC","05/29/2018 04:00 PM UTC","",,,,,
"Week 2 Wednesday","05/29/2018 04:00 PM UTC","05/30/2018 04:00 PM UTC","",,,,,
"Week 2 Thursday","05/30/2018 04:00 PM UTC","05/31/2018 04:00 PM UTC","",,,,,
"Week 2 Friday","05/31/2018 04:00 PM UTC","06/01/2018 04:00 PM UTC","",,,,,
"Week 1 Monday","06/03/2018 04:00 PM UTC","06/04/2018 04:00 PM UTC","",,,,,
"Week 1 Tuesday","06/04/2018 04:00 PM UTC","06/05/2018 04:00 PM UTC","",,,,,
"Week 1 Wednesday","06/05/2018 04:00 PM UTC","06/06/2018 04:00 PM UTC","",,,,,
"Week 1 Thursday","06/06/2018 04:00 PM UTC","06/07/2018 04:00 PM UTC","",,,,,
"Week 1 Friday","06/07/2018 04:00 PM UTC","06/08/2018 04:00 PM UTC","",,,,,
"Week 2 Monday","06/10/2018 04:00 PM UTC","06/11/2018 04:00 PM UTC","",,,,,
"Week 2 Tuesday","06/11/2018 04:00 PM UTC","06/12/2018 04:00 PM UTC","",,,,,
"Week 2 Wednesday","06/12/2018 04:00 PM UTC","06/13/2018 04:00 PM UTC","",,,,,
"Week 2 Thursday","06/13/2018 04:00 PM UTC","06/14/2018 04:00 PM UTC","",,,,,
"Week 2 Friday","06/14/2018 04:00 PM UTC","06/15/2018 04:00 PM UTC","",,,,,
"Holiday","06/17/2018 04:00 PM UTC","06/18/2018 04:00 PM UTC","",,,,,
"Week 1 Tuesday","06/18/2018 04:00 PM UTC","06/19/2018 04:00 PM UTC","",,,,,
"Week 1 Wednesday","06/19/2018 04:00 PM UTC","06/20/2018 04:00 PM UTC","",,,,,
"Week 1 Thursday","06/20/2018 04:00 PM UTC","06/21/2018 04:00 PM UTC","",,,,,
"Week 1 Friday","06/21/2018 04:00 PM UTC","06/22/2018 04:00 PM UTC","",,,,,
"Week 2 Monday","06/24/2018 04:00 PM UTC","06/25/2018 04:00 PM UTC","",,,,,
"Week 2 Tuesday","06/25/2018 04:00 PM UTC","06/26/2018 04:00 PM UTC","",,,,,
"Week 2 Wednesday","06/26/2018 04:00 PM UTC","06/27/2018 04:00 PM UTC","",,,,,
"Week 2 Thursday","06/27/2018 04:00 PM UTC","06/28/2018 04:00 PM UTC","",,,,,
"Week 2 Friday","06/28/2018 04:00 PM UTC","06/29/2018 04:00 PM UTC","",,,,,
"Holiday","07/01/2018 04:00 PM UTC","07/02/2018 04:00 PM UTC","",,,,,
"Holiday","07/02/2018 04:00 PM UTC","07/03/2018 04:00 PM UTC","",,,,,
"Holiday","07/03/2018 04:00 PM UTC","07/04/2018 04:00 PM UTC","",,,,,
"Holiday","07/04/2018 04:00 PM UTC","07/05/2018 04:00 PM UTC","",,,,,
"Holiday","07/05/2018 04:00 PM UTC","07/06/2018 04:00 PM UTC","",,,,,
"Holiday","07/08/2018 04:00 PM UTC","07/09/2018 04:00 PM UTC","",,,,,
"Holiday","07/09/2018 04:00 PM UTC","07/10/2018 04:00 PM UTC","",,,,,
"Holiday","07/10/2018 04:00 PM UTC","07/11/2018 04:00 PM UTC","",,,,,
"Holiday","07/11/2018 04:00 PM UTC","07/12/2018 04:00 PM UTC","",,,,,
"Holiday","07/12/2018 04:00 PM UTC","07/13/2018 04:00 PM UTC","",,,,,
"Holiday","07/15/2018 04:00 PM UTC","07/16/2018 04:00 PM UTC","",,,,,
"Holiday","07/16/2018 04:00 PM UTC","07/17/2018 04:00 PM UTC","",,,,,
"Holiday","07/17/2018 04:00 PM UTC","07/18/2018 04:00 PM UTC","",,,,,
"Holiday","07/18/2018 04:00 PM UTC","07/19/2018 04:00 PM UTC","",,,,,
"Holiday","07/19/2018 04:00 PM UTC","07/20/2018 04:00 PM UTC","",,,,,
"Holiday","07/22/2018 04:00 PM UTC","07/23/2018 04:00 PM UTC","",,,,,
"Holiday","07/23/2018 04:00 PM UTC","07/24/2018 04:00 PM UTC","",,,,,
"Holiday","07/24/2018 04:00 PM UTC","07/25/2018 04:00 PM UTC","",,,,,
"Holiday","07/25/2018 04:00 PM UTC","07/26/2018 04:00 PM UTC","",,,,,
"Holiday","07/26/2018 04:00 PM UTC","07/27/2018 04:00 PM UTC","",,,,,
"Holiday","07/29/2018 04:00 PM UTC","07/30/2018 04:00 PM UTC","",,,,,
"Holiday","07/30/2018 04:00 PM UTC","07/31/2018 04:00 PM UTC","",,,,,
"Holiday","07/31/2018 04:00 PM UTC","08/01/2018 04:00 PM UTC","",,,,,
"Holiday","08/01/2018 04:00 PM UTC","08/02/2018 04:00 PM UTC","",,,,,
"Holiday","08/02/2018 04:00 PM UTC","08/03/2018 04:00 PM UTC","",,,,,
"Holiday","08/05/2018 04:00 PM UTC","08/06/2018 04:00 PM UTC","",,,,,
"Holiday","08/06/2018 04:00 PM UTC","08/07/2018 04:00 PM UTC","",,,,,
"Holiday","08/07/2018 04:00 PM UTC","08/08/2018 04:00 PM UTC","",,,,,
"Holiday","08/08/2018 04:00 PM UTC","08/09/2018 04:00 PM UTC","",,,,,
"Staff CPD day","08/09/2018 04:00 PM UTC","08/10/2018 04:00 PM UTC","",,,,,
"Staff CPD day","08/12/2018 04:00 PM UTC","08/13/2018 04:00 PM UTC","",,,,,
"Staff CPD day","08/13/2018 04:00 PM UTC","08/14/2018 04:00 PM UTC","",,,,,
"Week 1 Wednesday","08/14/2018 04:00 PM UTC","08/15/2018 04:00 PM UTC","",,,,,
"Week 1 Thursday","08/15/2018 04:00 PM UTC","08/16/2018 04:00 PM UTC","",,,,,
"Week 1 Friday","08/16/2018 04:00 PM UTC","08/17/2018 04:00 PM UTC","",,,,,
"Week 2 Monday","08/19/2018 04:00 PM UTC","08/20/2018 04:00 PM UTC","",,,,,
"Week 2 Tuesday","08/20/2018 04:00 PM UTC","08/21/2018 04:00 PM UTC","",,,,,
"Week 2 Wednesday","08/21/2018 04:00 PM UTC","08/22/2018 04:00 PM UTC","",,,,,
"Week 2 Thursday","08/22/2018 04:00 PM UTC","08/23/2018 04:00 PM UTC","",,,,,
"Week 2 Friday","08/23/2018 04:00 PM UTC","08/24/2018 04:00 PM UTC","",,,,,
"Week 1 Monday","08/26/2018 04:00 PM UTC","08/27/2018 04:00 PM UTC","",,,,,
"Week 1 Tuesday","08/27/2018 04:00 PM UTC","08/28/2018 04:00 PM UTC","",,,,,
